ch5-로지스틱회귀분석
2832,725,4.576551724137931,734,488
14299,654,4.4525993883792045,332,145
3309,509,4.587426326129666,163,66
42083,421,4.0997624703087885,207,80
32480,397,3.8942065491183877,481,215
21444,395,4.5139240506329115,364,149
12540,368,4.608695652173913,289,168
17826,338,4.5266272189349115,971,328
2912,332,4.632530120481928,212,120
19731,324,4.530864197530864,393,143
12003,276,4.605072463768116,635,306
7178,269,4.371747211895911,50,7
41101,268,4.731343283582089,162,56
10252,254,3.779527559055118,19,12
6086,241,4.08298755186722,310,262
1693,232,4.271551724137931,71,10
36450,226,2.9424778761061945,432,230
386,224,4.290178571428571,353,101
2872,222,4.527027027027027,309,58
6504,221,4.389140271493213,307,264
957,211,4.303317535545023,194,81
7708,204,4.392156862745098,100,58
42386,197,4.461928934010152,26,13
12734,194,4.479381443298969,44,19
3058,194,3.9278350515463916,127,53
43675,191,4.633507853403142,215,76
33206,187,2.6149732620320854,56,33
14600,186,4.537634408602151,68,19
28058,179,4.4692737430167595,89,44
32535,178,4.382022471910112,297,190
35948,175,3.822857142857143,35,27
39549,174,4.390804597701149,35,45
12700,173,4.2485549132947975,153,84
1196,172,4.645348837209302,235,107
45495,171,4.450292397660819,48,14
414,167,4.179640718562874,206,82
18345,164,4.475609756097561,390,313
27696,164,3.8658536585365852,229,68
100276,164,4.317073170731708,224,75
8431,164,4.390243902439025,205,69
41384,162,4.209876543209877,37,12
9739,161,4.3229813664596275,622,354
3143,159,4.251572327044025,281,140
1063,158,4.493670886075949,101,89
1152,157,4.019108280254777,332,127
27434,156,4.5256410256410255,21,13
17310,154,4.116883116883117,93,30
19201,152,4.407894736842105,174,28
23222,152,4.453947368421052,57,32
31278,149,4.7114093959731544,104,90
41095,149,4.053691275167785,618,275
26937,148,4.3175675675675675,229,78
1081,148,4.141891891891892,60,25
74724,147,4.224489795918367,24,9
20170,146,4.383561643835616,193,183
4383,145,3.9655172413793105,483,301
18274,144,4.340277777777778,233,88
12347,144,4.208333333333333,226,190
9010,144,4.208333333333333,15,8
7539,141,4.453900709219858,81,41
33457,138,4.094202898550725,251,88
27626,138,4.318840579710145,412,201
16579,137,4.489051094890511,127,42
1324,136,3.9926470588235294,389,157
16458,135,4.0814814814814815,241,158
39581,134,4.067164179104478,142,73
38550,133,4.609022556390977,19,3
39545,133,4.045112781954887,215,170
24886,133,4.06015037593985,184,125
11588,131,3.984732824427481,17,19
4444,131,4.152671755725191,333,120
38183,130,4.1461538461538465,85,30
10248,130,3.9692307692307693,58,84
12259,129,4.51937984496124,54,34
32248,128,4.328125,89,46
15805,128,4.1015625,34,3
11767,128,4.390625,383,200
46655,128,4.375,19,15
39334,127,4.440944881889764,490,159
33743,125,4.112,300,123
8202,125,4.248,318,272
33121,120,4.3,44,30
82745,119,4.369747899159663,185,94
36217,116,4.086206896551724,86,80
141947,114,4.5701754385964914,355,193
11330,112,3.7767857142857144,87,55
191775,112,4.258928571428571,141,60
42873,110,4.327272727272727,79,59
3290,109,4.440366972477064,38,28
7752,107,4.140186915887851,5,15
9735,105,4.6,275,110
35766,100,4.07,54,42
32264,99,4.151515151515151,148,66
18341,96,4.291666666666667,78,85
8015,96,4.395833333333333,152,115
27675,96,3.8020833333333335,11,2
1821,90,4.266666666666667,66,15
34347,86,3.9767441860465116,32,19
3683,86,3.302325581395349,11,2
17022,31,4.419354838709677,44,5
