Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
0,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_2Bd3TcachmWvyUtMcuPx2WeHZGy,u_v7283Nfu170u,Jeri041,1,1657222143,0,3,7,4,514,I&#39;m doing this but using lasagna noodles and red enchilada sauce
1,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_23ymfzBJJlW88vcky6jv7hVHT6s,u_pmANF0tYznL0,Robbin081,1,1642714807,0,16,2,4,831,"I made this with corn tortillas (you need a few more since they&#39;re smaller). My family loved it! It even reheated well in the microwave. This is going in the easy, fast, good recipes book."
2,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_23WTNR2cLachlpffkXU9T7rBHld,u_mZVvFpYYjzIg,SylCan,10,1641848803,1,1,122,0,426,Maybe I&#39;m a little prejudiced but I have trouble trusting a recipe that uses a spice MIX. What&#39;s up with that? How difficut is it to shake out the cumin and corriander?
3,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_23LblHeyi3tqQaOQZWQVFbeViF1,u_drPf0X3Wcm0U,vsmith8403036,1,1641516464,0,6,0,5,723,On rotation frequently for dinner meals. Family really enjoys it
4,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_1xZvP3lT0IAJGAbyyU9EQBjHl0O,u_IvqsrnOAh4bF,CYNTHIA534,1,1630575397,1,42,0,5,946,"With only 2 of us at home now, I make this using 2 round cake pans. The first one is perfect for us for a couple days, and the second goes in the freezer for next time!"
5,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_1us6i6slssw1uyqkhrmliRJA2MI,u_ldHeCmfsNO1Q,Barbara4628,1,1625442073,1,17,0,5,909,This was so good! The only change I made was use a bag of  frozen peppers and onions because I didn&#39;t have fresh. My son and I loved it! Thank you!
6,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_432816,u_1tOHv05fqMsquVxcl4h0eeJpA89,OliveDice,0,1622648873,0,16,1,5,428,"This is THE BEST recipe for Taco Lasagna!!!  Its EASY and a lot less time consuming than other recipes!!  I&#39;ve made this recipe at least 20 times and it always turns out Great.  You an freeze it after making it or after it&#39;s been cooked.  Great for pot lucks or taking to someone in need .  Try it, you WILL love it!!!  I serve mine with toppings of chopped fresh tomatoes,  salsa and shredded lettuce."
7,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_432770,u_1oKW8b3WChcpZX30DEHa0rC7wD2,darlyn29,1,1622648873,0,8,1,5,354,This recipe is a staple. I&#39;m in Texas and we still love it! :) I use plant-based meat substitute but otherwise follow the recipe. Very tasty and a crowd pleaser.
8,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_393171,u_1oKZE2mHZXAoHzvq5K21oMOhxCX,pcsplawn,1,1622718297,0,7,0,5,390,"I have made this recipe numerous times. I use more ground beef, usually 1 &amp; 1/2 lbs and more cheese. Everyone always raves about this dish."
9,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_388173,u_1oKd4MGm5moTwJR9zuz3NjnXIdJ,psterris,1,1622718220,0,6,1,5,319,Had this tonight and everyone loved it. Delicious! This recipe is a keeper! (Made my own Taco seasoning)
10,37,20170,Taco Lasagna,sp_aUSaElGf_20170_c_405202,u_1oKcE02w4S0D9mDX04FiPStXWva,HeidiSmith,1,1622718349,0,9,0,5,415,"Made this for dinner last night, and the family  loved it. I used corn tortillas instead of flour. I used sweet yellow and red peppers (had on hand). I doubled the recipe, and so didn&#39;t use refried beans, since two cans of black beans were in it. I also added black olives (my mom loves olives). Will make it again for sure."
