Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
0,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_2FOtw50mXwLPg5AYPIz6ohTUnqz,u_NvAQtN3sbMsE,Karen4710,1,1664375194,0,0,0,0,392,Has anyone tried freezing it and then thawing it for later use?
1,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_21LxzU65KZhMu9T8Q9TSn8zOJSI,u_ncPDkXrtaexg,Mitchell072,1,1637734430,1,0,1,1,516,"Why is the batter runny? Made it just like it says, room temp eggs, soft cream cheese. Is it not enough sugar, added the half cup like recipe says"
2,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_1vj0xYCqsGLu9DZfM4Oq4I9sDWH,u_OPsWW2lSDYSb,Benny192,1,1627060438,1,6,1,5,615,"I have made this many times, but I cook it on my smoker, it will cause a fight over the last piece"
3,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_433295,u_1oKWOpXpHf2nD7Wq5OUQlCVjlry,jderck,1,1622648874,0,7,6,0,230,"I can&#39;t rate because I haven&#39;t made it yet, but it looks absolutely delish! Has anyone tried making it in a rectangle pan and cut into bars? What size pan and how long to bake?"
4,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_407536,u_1oKbDY2ax2cysgWuB1EIKhKuI4a,Michelle ,1,1622718355,0,2,0,5,253,Need to bake longer.  Watch until golden brown and set.     Too good!
5,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_396225,u_1oKd0sLLMe6i9nH9EbG7u34k9cb,Tracy,1,1622718309,0,7,1,5,338,"I made this for Thanksgiving and it was a huge hit!  It’s not overly sweet, like a pecan pie sometimes is. I used Hershey’s caramel topping. It wasn’t fat free. Otherwise, followed directions with the exception of time.   I read another review that said to bake longer and I did, about 8-10 minutes. It was awesome!  It’s neat how the syrup moves to the bottom under the cheesecake. I love that magic!  Anyway, super easy with limited ingredients and great taste.... just add a little more time.  Like the other review said, jiggly on top in the middle should be fine!"
6,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_392782,u_1oKcq4rbxcpKRv2JAhLrKjyU8OK,Jill,1,1622718291,0,4,2,4,235,I have found out a few things making this recipe.  1) use ice cream topping (I used Smuckers) and NOT SYRUP.  The syrup doesn’t set up.  2) it needs to cook about 15 minutes longer than the recipe says.  Always delicious and a new favorite.
7,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_391615,u_1oKcvekdDoA4W2DHBkLu6Luf0x4,Krystal,1,1622718290,0,2,0,5,253,"I find this recipe my new go to! Everyone loves it! If you read the reviews saying it was a runny mess...don&#39;t be alarmed, my first one was too. There is nothing wrong with the pie, if you get a runny mess try again because you didn&#39;t cook it long enough. That being said, even though my first one was a runny mess, I was STILL asked to make it again! I&#39;ve had luck adding 10 mins to the cook time give or take. It should still move in the middle slightly but it shouldn&#39;t be too jiggly. It&#39;s tough to tell with this one when it&#39;s done. When you get it right it&#39;s amazing!"
8,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_425663,u_1oKaKu7b2zYcNvWCEEhelYkg8xG,MikeHowse,1,1622718471,0,1,4,1,116,"Well now I have made it and it only gets 1 star, it really doesn&#39;t deserve a star at all.Very disappointed. Followed the recipe to the T. Refrigerated over night cut into it today and its nothing but a runny mess. I still tastes &#34;okay&#34; but I will from now own stick to my Karo syrup half light and half dark pecan pie recipe that always comes out perfect. Mike"
9,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_386259,u_1oKcjtW6lFd4W5qeWsRMDHX1aEO,Roxanne Gronski,1,1622718216,0,1,2,1,127,Followed the recipe exact. Refrigerated this overnight and when I cut in to it the next morning to serve with coffee it literally ran. The inside never set and it turned out soupy! Not at all what I had expected and I can tell you that it was a complete waste of ingredients. Threw it in the garbage and I will not waste the time or ingredients again. Especially with the cost of pecans.
10,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_384161,u_1oKdKA7gNVbkUVWVPl8YCJKyxb5,TeresaSellers,1,1622718254,0,0,0,5,100,Easy and delicious will make during holidays
11,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_409329,u_1oKcLiRseSUgOytNOwnPNkMT1nx,LaraMiller,1,1622718408,0,2,2,0,167,"Please update the ingredients list. The directions include cream cheese, which is not listed in the ingredients."
12,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_427607,u_1oKeE3hojqh5xqF4SBXsE7muZt1,Trisha Garrison ,1,1622718457,0,0,0,1,100,You can not see all the ingredients needed for this recipe on a phone!  Not sure about a computer since I don’t have ones.
