Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
0,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_2Dibf0QJQ5BULNK8pPYD1iWrAEH,u_XbSrgkbRQkCK,Tina726,1,1661184951,0,1,0,0,590,How do you think this would be with cheese tortellini?
1,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_2BcfZfVoi3im7dB01qu13SbX37J,u_tga2PtdHW2Fy,hondapcgirl1,30,1657210351,0,2,1,5,632,"I loved the flavor and texture of this salad. Not too sweet or too much vinegar, which is a common issue I have with coleslaws. The ratio of dressing to slaw is perfect. I didn&#39;t have to make any changes to get it right; 5 stars."
2,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_2AwjOE39QPX1xdKzPeHqTgrNbHz,u_HdsYw5KdZF9m,ukiebaker,70,1655927508,0,2,2,3,597,"After reading a lot of the five star reviews I made a double recipe  for a church potluck picnic exactly as posted.   It was good, but not great was the opinion of quite a few people. Luckily there were a lot of people so I only had a small bowl leftover.  If I make it again I would greatly reduce or omit the vinegar in the dressing and not use the water chestnuts since, I asked, and no one tasted them in the salad. Maybe using sliced or slicing the whole and not chopping would have made a difference?"
3,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_22BfowL57EBszCDD64M6mdV28rL,u_vKSPW41YTT6y,NancyK57,1,1639316079,0,15,15,5,689,Very nice combination and very tasty.  The only change I made was using a red pepper instead of a green pepper (personal choice).  As others have said this recipe does make a lot.  I halved the recipe and filled a 2 qt bowl.  Several guests asked for the recipe.  Will definitely be adding this to my recipe collection.
4,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1zv6ondtV2SQpLw2CjJ6zAozTJG,u_WQOD2dijswlo,AmandaVictoria,1,1635016392,0,23,5,5,827,"Made this today for a group of cowboys, to go along with chili and cornmeal muffins. It was well received! This will be my go to salad recipe from now on! I may add cubed cheddar cheese for the next time and for a more summer type salad I&#39;ll try adding sliced grapes. Oh so yummy. Thank you!"
5,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1wXvY1y8qHMaCH5pTcPCUo92YCc,u_BOHB3fzADRLd,Ruth704,1,1628617791,0,6,0,5,781,"Really like this, make it very often. Hard to find whole water chestnuts so I use sliced and cut them in half.  I usually take the seeds out of the cucumbers with small scoop but probably not necessary.  This is great for pot lucks."
6,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1v5ly2M4H1K7QuA6wsVy1MOVxoU,u_rGPhSUerTIKf,Wendi700,1,1625860081,1,7,6,0,519,Can you make it the day before?
7,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1uY9pGcJ5kwcNwsjzIyU8Hu9uNl,u_vYPk5diFjt8S,Patrica390,1,1624831865,0,14,14,5,679,"I would make this again.  Quite a nice salad enjoyed by my family. Tasty combination of coleslaw and macaroni salad. Good dressing, used Mayo. I typically don&#39;t purchase bagged coleslaw.  I shredded cabbage and carrots.  I left out the cucumbers."
8,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1u53jJfrzUDiNqFOt4piBHVTgug,u_yOARAWXUAaTc,JANICE319,1,1623941757,0,2,0,5,661,Left out cucumber and used mayo instead.  It makes alot so it was perfect for neighborhood get together.  Everyone loved.  Will make again.
9,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_1tuLvcuPw9OsBl6Z9Doj2GUmli9,u_dpVXfKeZCPMh,mltdebbie,1,1623614258,0,10,2,5,772,"I&#39;ve made this for almost all summer potlucks for a few years and everyone loves it, even people who claim to dislike Miracle Whip! It does make a huge batch, but my friends ask to take some home (when there are leftovers) and my picky husband will eat it for days."
